City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
119,skiathos,39.1623,23.4909,17.76,73,100,9.6,GR,1741814961
120,siniscola,40.5719,9.6922,10.05,89,4,3.13,IT,1741814961
121,ocean city,39.2776,-74.5746,9.54,61,2,4.92,US,1741814961
122,acarau,-2.8856,-40.12,25.73,88,100,5.12,BR,1741814961
123,alotau,-10.3069,150.4462,25.51,91,96,1.69,PG,1741814962
124,jamestown,42.097,-79.2353,7.23,32,100,5.14,US,1741814962
125,usogorsk,63.4106,48.6872,-14.81,99,94,1.19,RU,1741814962
126,uusikaupunki,60.8004,21.4084,-1.16,63,100,2.42,FI,1741814962
127,west bay,19.3667,-81.4167,28.04,69,40,5.66,KY,1741814962
128,longyearbyen,78.2186,15.6401,-18.09,60,40,9.26,SJ,1741814962
129,yambio,4.5721,28.3955,23.72,29,37,1.55,SS,1741814963
130,kavaratti,10.5669,72.642,27.74,75,100,1.32,IN,1741814963
131,el haouaria,37.05,11.0144,15.01,81,6,5.16,TN,1741814963
132,severo-yeniseyskiy,60.3725,93.0408,-23.01,100,96,1.86,RU,1741814963
133,tobelo,1.7284,128.0095,27.15,81,100,2.58,ID,1741814963
134,klyuchi,52.2667,79.1667,-19.41,100,93,3.45,RU,1741814963
135,anadyr,64.75,177.4833,-18.72,77,75,6.0,RU,1741814963
136,kaitong,44.8135,123.15,-5.47,57,0,3.88,CN,1741814963
137,caucete,-31.6518,-68.2811,22.12,43,47,5.31,AR,1741814963
138,talnakh,69.4865,88.3972,-14.68,66,100,13.09,RU,1741814964
139,dudinka,69.4058,86.1778,-14.59,86,100,15.26,RU,1741814964
140,chegdomyn,51.1167,133.0167,-10.86,95,100,0.75,RU,1741814964
141,mao,39.8885,4.2658,13.31,82,20,3.6,ES,1741814964
142,puerto baquerizo moreno,-0.9,-89.6,26.55,89,100,2.57,EC,1741814964
143,santo antonio,-6.3106,-35.4789,27.14,68,42,5.62,BR,1741814964
144,sisimiut,66.9395,-53.6735,3.16,86,100,4.15,GL,1741814964
145,port alfred,-33.5906,26.891,21.21,94,74,0.89,ZA,1741814964
146,invercargill,-46.4,168.35,10.57,84,11,0.89,NZ,1741814965
147,avarua,-21.2078,-159.775,28.03,89,75,2.06,CK,1741814965
148,utrik,11.2278,169.8474,26.8,74,73,9.33,MH,1741814965
149,tralee,52.2704,-9.7026,3.51,87,57,2.96,IE,1741814965
150,vadso,70.0744,29.7487,-2.91,74,20,4.12,NO,1741814965
151,afaahiti,-17.75,-149.2833,26.83,78,35,6.87,PF,1741814965
152,enewetak,11.3474,162.3373,26.81,79,54,9.41,MH,1741814965
153,oriximina,-1.7656,-55.8661,24.22,93,99,1.87,BR,1741814965
154,al mijlad,11.0333,27.7333,26.13,11,2,5.39,SD,1741814966
155,shihezi,44.3,86.0333,-1.33,95,100,1.6,CN,1741814966
156,tarawa,1.419,172.984,28.05,78,20,5.66,KI,1741814966
157,hawaiian paradise park,19.5933,-154.9731,25.73,75,40,3.09,US,1741814966
158,tazacorte,28.629,-17.9293,21.54,93,40,7.2,ES,1741814966
159,chittarkonda,18.1167,82.0833,21.1,63,100,1.61,IN,1741814966
160,arkhangel'sk,64.5401,40.5433,-12.94,92,40,2.0,RU,1741814966
161,holualoa,19.6228,-155.9522,25.31,71,20,3.09,US,1741814966
162,vorgashor,67.5833,63.95,-15.34,98,95,3.33,RU,1741814966
163,nova sintra,14.8667,-24.7167,21.43,80,7,6.8,CV,1741814967
164,udachny,66.4167,112.4,-32.13,100,61,1.44,RU,1741814965
165,port elizabeth,-33.918,25.5701,22.4,94,0,4.12,ZA,1741814967
166,kapa'a,22.0752,-159.319,26.18,73,75,8.23,US,1741814967
167,svetlyy,54.675,20.1347,5.55,86,100,3.08,RU,1741814967
168,ivdel',60.6911,60.4206,-8.71,99,67,1.15,RU,1741814967
169,olinda,-8.0089,-34.8553,27.85,78,40,5.66,BR,1741814967
170,stanley,54.868,-1.6985,1.96,87,20,5.14,GB,1741814967
171,polyarnyy,69.1989,33.4478,-11.13,98,83,4.0,RU,1741814968
172,olonkinbyen,70.9221,-8.7187,-5.81,69,100,7.59,SJ,1741814968
173,remire-montjoly,4.9167,-52.2667,27.02,89,87,4.12,GF,1741814968
